iter	Passed	Remaining
0	199	199185
1	342	170680
2	495	164575
3	640	159440
4	834	166135
5	974	161501
6	1157	164222
7	1309	162392
8	1444	159057
9	1583	156722
10	1693	152290
11	1807	148826
12	1930	146543
13	2070	145848
14	2201	144558
15	2311	142128
16	2463	142471
17	2630	143503
18	2752	142090
19	2872	140743
20	2990	139410
21	3104	137990
22	3237	137506
23	3392	137970
24	3541	138099
25	3661	137178
26	3792	136685
27	3945	136957
28	4117	137862
29	4224	136601
30	4347	135906
31	4463	135024
32	4596	134697
33	4727	134310
34	4852	133799
35	5021	134475
36	5132	133579
37	5266	133331
38	5427	133732
39	5562	133505
40	5711	133597
41	5854	133535
42	6007	133704
43	6149	133621
44	6295	133596
45	6421	133166
46	6550	132818
47	6676	132422
48	6808	132137
49	6931	131693
50	7039	130982
51	7172	130762
52	7300	130435
53	7410	129815
54	7683	132025
55	7949	134005
56	8197	135625
57	8371	135972
58	8501	135595
59	8642	135398
60	8762	134883
61	8870	134205
62	8995	133786
63	9125	133453
64	9234	132833
65	9397	132984
66	9541	132862
67	9687	132770
68	9805	132305
69	9914	131720
70	10036	131316
71	10185	131277
72	10319	131039
73	10442	130670
74	10591	130629
75	10720	130335
76	10854	130118
77	10987	129877
78	11106	129483
79	11246	129338
80	11370	129005
81	11504	128791
82	11639	128594
83	11766	128313
84	11947	128607
85	12090	128498
86	12246	128519
87	12355	128045
88	12496	127912
89	12629	127694
90	12768	127545
91	12938	127701
92	13048	127259
93	13198	127210
94	13354	127216
95	13493	127066
96	13615	126745
97	13769	126732
98	13880	126324
99	14046	126420
100	14218	126558
101	14351	126345
102	14489	126185
103	14617	125932
104	14755	125772
105	14881	125511
106	15030	125443
107	15184	125409
108	15311	125165
109	15448	124993
110	15567	124681
111	15715	124598
112	15878	124637
113	15998	124338
114	16129	124127
115	16282	124080
116	16415	123890
117	16551	123712
118	16699	123633
119	16841	123506
120	16973	123304
121	17100	123064
122	17209	122708
123	17363	122664
124	17483	122381
125	17617	122203
126	17737	121929
127	17863	121695
128	17986	121443
129	18107	121181
130	18237	120977
131	18399	120987
132	18564	121020
133	18710	120921
134	18836	120691
135	18959	120448
136	19110	120383
137	19233	120140
138	19361	119932
139	19479	119659
140	19633	119610
141	19842	119891
142	20042	120115
143	20271	120505
144	20427	120448
145	20561	120268
146	20693	120076
147	20859	120084
148	20981	119836
149	21143	119815
150	21294	119729
151	21416	119482
152	21539	119244
153	21644	118904
154	21773	118703
155	21915	118568
156	22047	118384
157	22166	118129
158	22294	117924
159	22431	117765
160	22570	117620
161	22725	117556
162	22847	117320
