iter	Passed	Remaining
0	1	1954
1	3	1563
2	4	1449
3	5	1328
4	6	1260
5	7	1233
6	8	1206
7	9	1186
8	10	1144
9	11	1180
10	12	1157
11	13	1143
12	15	1145
13	16	1139
14	17	1130
15	18	1118
16	19	1121
17	20	1126
18	21	1115
19	22	1100
20	23	1090
21	24	1076
22	25	1071
23	26	1065
24	27	1056
25	27	1048
26	28	1040
27	29	1037
28	30	1028
29	31	1021
30	32	1020
31	33	1018
32	34	1014
33	35	1010
34	36	1006
35	37	1002
36	38	999
37	39	998
38	40	998
39	41	995
40	42	991
41	43	988
42	44	985
43	45	984
44	46	984
45	47	983
46	48	980
47	49	978
48	50	972
49	51	970
50	52	968
51	53	968
52	54	966
53	55	972
54	56	971
55	57	972
56	58	969
57	59	966
58	60	963
59	61	960
60	62	957
61	63	954
62	64	952
63	64	948
64	65	945
65	66	942
66	67	940
67	68	938
68	69	938
69	70	940
70	71	938
71	72	936
72	73	933
73	74	931
74	75	929
75	76	927
76	77	925
77	78	922
78	78	920
79	79	914
80	80	913
81	81	911
82	82	910
83	83	908
84	84	907
85	85	905
86	86	903
87	86	901
88	87	899
89	88	898
90	89	895
91	90	893
92	91	892
93	92	890
94	93	889
95	94	887
96	95	887
97	96	886
98	97	886
99	98	885
100	99	884
101	100	881
102	101	880
103	101	877
104	102	876
105	103	875
106	104	875
107	105	873
108	106	872
109	107	871
110	108	871
111	109	870
112	110	868
113	111	866
114	112	865
115	113	864
116	114	862
117	115	861
118	116	859
119	117	859
120	118	857
121	119	856
122	119	854
123	121	854
124	121	853
125	122	852
126	123	852
127	124	851
128	126	851
129	126	849
130	127	847
131	128	846
132	129	845
133	130	843
134	131	841
135	132	842
136	133	841
137	134	842
138	135	840
139	136	839
140	137	837
141	138	835
142	139	834
143	140	832
144	140	830
145	141	828
146	142	827
147	143	825
148	144	825
149	145	824
150	146	822
151	147	821
152	147	819
153	148	817
154	149	815
155	150	813
156	151	812
157	152	811
158	153	810
159	154	809
160	155	809
161	156	809
162	157	808
163	158	806
164	159	805
165	159	803
166	160	802
167	161	801
168	162	799
169	163	798
170	164	796
171	165	795
172	166	794
173	167	794
174	168	792
175	169	791
176	170	790
177	170	788
178	171	787
179	172	785
180	173	785
181	174	783
182	175	782
183	175	780
184	176	778
185	177	776
186	178	775
187	179	773
188	179	772
189	180	770
190	181	769
191	182	767
192	183	766
193	184	765
194	185	763
195	185	762
196	186	760
197	187	758
198	188	756
199	188	755
200	189	753
201	190	752
202	191	751
203	192	749
204	192	747
205	193	746
206	194	744
207	195	743
208	195	741
209	196	740
210	197	738
211	198	737
212	199	735
213	199	734
214	200	732
215	201	731
216	202	729
217	203	728
218	203	727
219	204	725
220	205	724
221	206	723
222	207	721
223	207	720
224	208	719
225	209	717
226	210	716
227	211	714
228	211	713
229	212	711
230	213	710
231	214	709
232	215	708
233	215	706
234	216	705
235	217	703
236	218	702
237	219	701
238	220	700
239	220	699
240	221	697
241	222	696
242	223	695
243	223	693
244	224	692
245	225	691
246	226	689
247	227	688
248	227	687
249	228	685
250	229	684
251	230	683
252	230	681
253	231	680
254	232	679
255	233	677
256	234	676
257	234	675
258	235	674
259	236	672
260	237	671
261	237	670
262	238	669
263	239	667
264	240	666
265	241	665
266	241	664
267	242	662
268	243	661
269	244	660
270	245	659
271	245	657
272	246	656
273	247	655
274	248	654
275	248	652
276	249	651
277	250	650
278	251	649
279	252	648
280	252	647
281	253	645
282	254	644
283	255	643
284	256	642
285	256	641
286	257	640
287	258	639
288	259	637
289	260	636
290	260	635
291	261	634
292	262	633
293	263	632
294	264	631
295	264	629
296	265	629
297	266	627
298	267	626
299	268	625
300	269	624
301	269	623
302	270	622
303	271	621
304	272	620
